A_FT_01_sila;A_FT_01_pomik;;A_FT_02_sila;A_FT_02_pomik;;A_FT_03_sila;A_FT_03_pomik
1,701722;2,205;;2,651673;3,56;;0,727366;0,39
1,702182;2,21;;2,662672;3,585;;0,753503;0,44
1,697632;2,215;;2,683597;3,605;;0,781597;0,49
1,707773;2,22;;2,690414;3,625;;0,807593;0,54
1,713456;2,235;;2,71137;3,645;;0,849016;0,595
1,732268;2,25;;2,717988;3,665;;0,883392;0,665
1,744324;2,265;;2,734425;3,685;;0,930267;0,735
1,753515;2,275;;2,741548;3,7;;0,973022;0,81
1,758524;2,29;;2,758016;3,72;;1,02797;0,895
1,778102;2,31;;2,760773;3,735;;1,084803;0,985
1,787323;2,325;;2,778727;3,75;;1,143688;1,065
1,799946;2,34;;2,782128;3,765;;1,201777;1,16
1,80664;2,355;;2,796497;3,775;;1,270803;1,265
1,82081;2,37;;2,801138;3,79;;1,337685;1,365
1,83403;2,385;;2,813056;3,805;;1,411322;1,47
1,838427;2,395;;2,818341;3,815;;1,477713;1,575
1,847572;2,405;;2,818632;3,825;;1,550937;1,68
1,855706;2,415;;2,831929;3,835;;1,612656;1,785
1,857407;2,425;;2,839175;3,85;;1,689648;1,885
1,874977;2,445;;2,844613;3,855;;1,757311;1,985
1,885746;2,465;;2,85123;3,865;;1,823626;2,08
1,905079;2,485;;2,855229;3,875;;1,882511;2,175
1,91237;2,505;;2,854907;3,885;;1,950036;2,255
1,929849;2,52;;2,866044;3,89;;2,003897;2,335
1,944494;2,545;;2,865186;3,9;;2,0586;2,41
1,96545;2,57;;2,874867;3,905;;2,103055;2,48
1,980294;2,595;;2,875572;3,915;;2,152382;2,55
1,999243;2,62;;2,88366;3,92;;2,19676;2,61
2,018575;2,645;;2,883645;3,94;;2,235425;2,665
2,037586;2,67;;2,885269;3,95;;2,268238;2,72
2,056566;2,695;;2,903268;3,965;;2,303869;2,765
2,075546;2,73;;2,92329;3,995;;2,331198;2,81
2,090405;2,745;;2,952748;4,025;;2,356826;2,84
2,10364;2,77;;2,970441;4,055;;2,365006;2,865
2,118729;2,79;;2,993863;4,08;;2,374764;2,885
2,139869;2,81;;3,011373;4,11;;2,387678;2,9
2,152722;2,83;;3,030552;4,14;;2,398049;2,91
2,160151;2,85;;3,03288;4,155;;2,402721;2,92
2,175684;2,865;;3,054204;4,175;;2,403257;2,925
2,174137;2,875;;3,066842;4,2;;2,442887;3,03
2,190682;2,885;;3,086067;4,22;;2,463199;3,05
2,191647;2,9;;3,095672;4,245;;2,472237;3,07
2,206276;2,91;;3,116352;4,265;;2,490605;3,085
2,208941;2,92;;3,135347;4,295;;2,502063;3,1
2,210412;2,925;;3,150145;4,315;;2,513521;3,12
2,219511;2,935;;3,159796;4,33;;2,524382;3,14
2,222928;2,935;;3,16862;4,345;;2,538062;3,155
2,227002;2,94;;3,168038;4,35;;2,547437;3,17
2,227722;2,945;;3,170994;4,355;;2,561178;3,19
2,227753;2,95;;3,176769;4,365;;2,571733;3,21
2,233283;2,955;;3,182514;4,37;;2,592719;3,24
2,232486;2,96;;3,185133;4,38;;2,604959;3,26
2,2346;2,965;;3,185608;4,39;;2,622162;3,28
2,251206;2,98;;3,211711;4,415;;2,631415;3,305
2,271595;3;;3,241399;4,455;;2,652049;3,325
2,282992;3,02;;3,272787;4,49;;2,665729;3,345
2,300517;3,04;;3,287662;4,525;;2,684264;3,365
2,313002;3,055;;3,316752;4,56;;2,684724;3,38
2,323158;3,065;;3,338872;4,59;;2,703796;3,395
2,326436;3,08;;3,363857;4,625;;2,707334;3,41
2,336056;3,09;;3,374075;4,655;;2,717399;3,43
2,342261;3,1;;3,402675;4,68;;2,726146;3,445
2,348878;3,11;;3,420245;4,71;;2,741664;3,46
2,355879;3,125;;3,437739;4,735;;2,745692;3,475
2,370784;3,14;;3,450163;4,76;;2,752019;3,485
2,383575;3,155;;3,473754;4,785;;2,764274;3,5
2,391388;3,17;;3,48846;4,81;;2,777448;3,52
2,40617;3,185;;3,50145;4,83;;2,797118;3,54
2,413661;3,2;;3,516922;4,85;;2,802939;3,56
2,423787;3,21;;3,533711;4,87;;2,822072;3,575
2,433484;3,225;;3,542612;4,89;;2,821183;3,595
2,440837;3,235;;3,556169;4,91;;2,841404;3,61
2,451882;3,25;;3,563782;4,925;;2,842415;3,625
2,45997;3,265;;3,573984;4,945;;2,861395;3,645
2,471796;3,275;;3,587955;4,96;;2,865623;3,66
2,475672;3,285;;3,594619;4,97;;2,883178;3,675
2,476652;3,3;;3,598985;4,98;;2,887437;3,69
2,490791;3,31;;3,605281;4,99;;2,897333;3,7
2,492093;3,32;;3,61484;5,03;;2,89672;3,705
2,510338;3,335;;3,622422;5,045;;2,900611;3,71
2,515148;3,345;;3,639258;5,06;;2,917416;3,735
2,530206;3,36;;3,657686;5,08;;2,930008;3,755
2,538157;3,375;;3,674782;5,105;;2,948743;3,775
2,538478;3,38;;3,682319;5,125;;2,95605;3,8
2,547731;3,39;;3,698863;5,135;;2,978721;3,82
2,54744;3,4;;3,704439;5,15;;2,986013;3,84
2,561089;3,41;;3,722944;5,17;;3,003967;3,86
2,564873;3,415;;3,731676;5,185;;3,024586;3,89
2,565286;3,425;;3,744911;5,205;;3,051853;3,93
2,577189;3,435;;3,753949;5,22;;3,072365;3,965
2,592967;3,45;;3,761762;5,23;;3,103707;4
2,601301;3,465;;3,75951;5,235;;3,119501;4,035
2,617646;3,48;;3,761318;5,24;;3,147595;4,065
2,626347;3,495;;3,771535;5,25;;3,170267;4,1
2,632888;3,51;;3,771474;5,26;;3,185877;4,125
2,646261;3,525;;3,780451;5,265;;3,20092;4,155
2,657949;3,54;;3,78451;5,27;;3,22255;4,18
2,65988;3,555;;3,784449;5,275;;3,237685;4,205
2,676531;3,565;;3,784112;5,285;;3,254566;4,23
2,683685;3,58;;3,79603;5,29;;3,264018;4,25
2,699862;3,6;;3,797408;5,295;;3,278877;4,27
2,715992;3,625;;3,808606;5,305;;3,284407;4,285
2,735753;3,645;;3,822669;5,325;;3,298485;4,3
2,748391;3,665;;3,824615;5,335;;3,30207;4,315
2,758578;3,685;;3,830757;5,34;;3,313359;4,325
2,785769;3,715;;3,845433;5,36;;3,317756;4,34
2,801609;3,745;;3,866297;5,385;;3,326258;4,35
2,823897;3,77;;3,88661;5,41;;3,327085;4,36
2,843659;3,795;;3,902419;5,43;;3,338053;4,37
2,863251;3,82;;3,919392;5,46;;3,336935;4,38
2,878141;3,845;;3,936549;5,485;;3,34896;4,39
2,891989;3,865;;3,943718;5,505;;3,349864;4,395
2,905822;3,88;;3,961549;5,525;;3,363452;4,41
2,922412;3,905;;3,96665;5,545;;3,367833;4,42
2,929091;3,925;;4,001516;5,58;;3,380854;4,435
2,954781;3,945;;4,019423;5,61;;3,385358;4,445
2,968338;3,965;;4,048973;5,645;;3,394932;4,46
2,973669;3,985;;4,069178;5,675;;3,400799;4,47
2,98862;4,005;;4,089169;5,71;;3,412839;4,485
3,007431;4,02;;4,105116;5,735;;3,420499;4,5
3,013191;4,035;;4,12716;5,765;;3,431743;4,515
3,030884;4,055;;4,146002;5,795;;3,43715;4,525
3,035756;4,07;;4,164476;5,82;;3,446066;4,535
3,049956;4,085;;4,178937;5,84;;3,453649;4,55
3,060741;4,1;;4,202865;5,875;;3,460082;4,565
3,071035;4,11;;4,224863;5,905;;3,471388;4,575
3,074742;4,125;;4,247734;5,94;;3,479629;4,585
3,087242;4,14;;4,266882;5,97;;3,485083;4,6
3,094273;4,15;;4,283166;6;;3,485987;4,61
3,104721;4,16;;4,306941;6,03;;3,49887;4,62
3,111921;4,175;;4,318062;6,06;;3,497659;4,63
3,118937;4,185;;4,342082;6,085;;3,510711;4,64
3,123318;4,195;;4,360633;6,11;;3,510527;4,645
3,124451;4,2;;4,373639;6,13;;3,520362;4,655
3,122184;4,2;;4,386215;6,16;;3,518815;4,665
3,123103;4,215;;4,408887;6,185;;3,528833;4,67
3,151229;4,24;;4,417864;6,205;;3,531238;4,68
3,17338;4,265;;4,437365;6,23;;3,536523;4,685
3,186477;4,29;;4,445606;6,25;;3,535573;4,69
3,209241;4,31;;4,455701;6,26;;3,543309;4,7
3,22168;4,33;;4,455364;6,27;;3,545102;4,705
3,241425;4,35;;4,461783;6,28;;3,549835;4,71
3,248748;4,37;;4,439341;6,29;;3,552715;4,715
3,267513;4,385;;4,454736;6,31;;3,55342;4,725
3,277041;4,405;;4,473226;6,33;;3,568784;4,735
3,29115;4,42;;4,482938;6,345;;3,580258;4,75
3,296971;4,435;;4,493079;6,355;;3,584394;4,76
3,31085;4,45;;4,496556;6,365;;3,593003;4,77
3,317069;4,465;;4,506498;6,37;;3,593294;4,78
3,332664;4,475;;4,50659;6,38;;3,60077;4,79
3,336157;4,49;;4,513621;6,39;;3,610681;4,805
3,339833;4,505;;4,516333;6,395;;3,627394;4,82
3,356776;4,515;;4,523379;6,405;;3,634318;4,835
3,356576;4,53;;4,526612;6,41;;3,644551;4,845
3,369689;4,54;;4,526673;6,415;;3,64979;4,86
3,381194;4,55;;4,525861;6,42;;3,660345;4,87
3,385835;4,56;;4,536875;6,43;;3,655151;4,875
3,388056;4,57;;4,542911;6,44;;3,672998;4,89
3,397156;4,58;;4,541042;6,44;;3,683093;4,905
3,403651;4,59;;4,545301;6,445;;3,692728;4,92
3,412046;4,6;;4,538882;6,445;;3,697293;4,93
3,407358;4,605;;4,561293;6,46;;3,706868;4,94
3,420348;4,615;;4,565475;6,475;;3,717529;4,955
3,426369;4,625;;4,57845;6,485;;3,735468;4,975
3,432435;4,63;;4,581361;6,495;;3,746313;5
3,43314;4,635;;4,595148;6,51;;3,765401;5,025
3,437796;4,645;;4,601137;6,525;;3,783293;5,05
3,445686;4,655;;4,613285;6,535;;3,803085;5,08
3,462705;4,675;;4,619244;6,55;;3,818189;5,105
3,475649;4,69;;4,62842;6,56;;3,835055;5,13
3,489589;4,705;;4,650357;6,59;;3,854326;5,155
3,499255;4,72;;4,668203;6,615;;3,870242;5,18
3,506179;4,735;;4,684104;6,64;;3,884979;5,2
3,515509;4,745;;4,696681;6,655;;3,896161;5,225
3,525328;4,76;;4,707358;6,675;;3,912629;5,245
3,53697;4,775;;4,721359;6,7;;3,925573;5,26
3,552274;4,79;;4,735743;6,715;;3,936113;5,28
3,557865;4,81;;4,739466;6,735;;3,945258;5,295
3,569002;4,825;;4,759319;6,75;;3,951723;5,31
3,582114;4,84;;4,764527;6,77;;3,957528;5,32
3,589697;4,855;;4,786387;6,79;;3,965632;5,33
3,603101;4,87;;4,793311;6,81;;3,974502;5,345
3,606012;4,89;;4,813624;6,83;;3,987477;5,36
3,663273;4,945;;4,819185;6,85;;3,988074;5,375
3,692746;4,995;;4,837307;6,865;;3,996989;5,38
3,738029;5,045;;4,844169;6,88;;4,000099;5,39
3,763871;5,095;;4,864436;6,905;;4,005016;5,4
3,809629;5,14;;4,881517;6,93;;4,001646;5,415
3,828103;5,185;;4,893358;6,955;;4,018129;5,43
3,866798;5,23;;4,914314;6,98;;4,023077;5,44
3,889301;5,27;;4,927764;7,005;;4,029389;5,445
3,923983;5,305;;4,946315;7,03;;4,035225;5,455
3,947589;5,345;;4,960715;7,05;;4,045167;5,47
3,980325;5,385;;4,973919;7,075;;4,049104;5,48
4,002476;5,425;;4,983585;7,095;;4,06885;5,5
4,038874;5,465;;5,004802;7,115;;4,087018;5,525
4,057593;5,5;;5,010424;7,135;;4,105048;5,55
4,084861;5,53;;5,029787;7,155;;4,120688;5,575
4,09468;5,555;;5,030537;7,165;;4,136314;5,595
4,105878;5,575;;5,040464;7,175;;4,154068;5,62
4,119205;5,595;;5,037278;7,19;;4,172696;5,645
4,12858;5,61;;5,051493;7,2;;4,187095;5,67
4,132885;5,62;;5,054573;7,21;;4,197864;5,695
4,13673;5,63;;5,061297;7,215;;4,214684;5,715
4,144282;5,635;;5,065725;7,225;;4,229099;5,74
4,14802;5,65;;5,063641;7,235;;4,246654;5,76
4,144558;5,655;;5,069845;7,24;;4,257914;5,785
4,150976;5,655;;5,073951;7,245;;4,274841;5,805
4,15306;5,7;;5,073369;7,25;;4,283848;5,825
4,173495;5,72;;5,07991;7,255;;4,300975;5,84
4,179454;5,735;;5,101616;7,28;;4,305846;5,86
4,202616;5,755;;5,124349;7,31;;4,323692;5,875
4,217812;5,77;;5,147864;7,345;;4,326389;5,89
4,232533;5,79;;5,160686;7,37;;4,34111;5,905
4,244038;5,805;;5,187616;7,4;;4,355264;5,93
4,262757;5,825;;5,202521;7,425;;4,372667;5,95
4,270432;5,845;;5,216385;7,455;;4,380004;5,97
4,290438;5,86;;5,235027;7,48;;4,396931;5,99
4,291143;5,87;;5,252567;7,505;;4,404575;6,005
4,296091;5,875;;5,268438;7,525;;4,420783;6,025
4,29796;5,88;;5,271915;7,55;;4,425578;6,04
4,300288;5,885;;5,299918;7,57;;4,439747;6,055
4,286088;5,885;;5,305953;7,59;;4,445752;6,07
4,294038;5,89;;5,324918;7,61;;4,45957;6,085
4,31573;5,905;;5,335978;7,63;;4,462005;6,095
4,33186;5,92;;5,346517;7,645;;4,468715;6,105
4,337819;5,935;;5,345935;7,66;;4,472284;6,115
4,353352;5,95;;5,361162;7,675;;4,482318;6,12
4,365132;5,965;;5,36418;7,69;;4,487006;6,13
4,37198;5,985;;5,378733;7,705;;4,487894;6,14
4,393242;6,005;;5,369679;7,725;;4,493807;6,145
4,404915;6,025;;5,374122;7,735;;4,500517;6,155
4,42532;6,05;;5,381276;7,74;;4,501773;6,16
4,44433;6,07;;5,383956;7,75;;4,507717;6,165
4,46063;6,095;;5,393714;7,755;;4,513185;6,175
4,47074;6,115;;5,399949;7,77;;4,521672;6,185
4,493412;6,14;;5,408558;7,78;;4,524077;6,19
4,505406;6,16;;5,416141;7,79;;4,525869;6,2
4,520802;6,18;;5,414916;7,8;;4,533284;6,205
4,542738;6,21;;5,428411;7,81;;4,537741;6,215
4,56423;6,24;;5,438797;7,825;;4,548265;6,225
4,572824;6,265;;5,459738;7,85;;4,548756;6,235
4,603063;6,29;;5,47377;7,875;;4,555818;6,245
4,618014;6,315;;5,494006;7,895;;4,563446;6,255
4,635723;6,34;;5,502432;7,915;;4,57397;6,265
4,647825;6,36;;5,520385;7,935;;4,579347;6,275
4,666606;6,385;;5,530664;7,955;;4,585827;6,285
4,674342;6,405;;5,556308;7,99;;4,600472;6,305
4,696921;6,425;;5,586409;8,03;;4,620187;6,325
4,70864;6,445;;5,603566;8,07;;4,631247;6,345
4,725675;6,465;;5,637482;8,11;;4,646505;6,365
4,732461;6,485;;5,659648;8,15;;4,669314;6,395
4,749311;6,505;;5,687666;8,185;;4,70395;6,435
4,758855;6,52;;5,70902;8,22;;4,724569;6,475
4,769011;6,535;;5,733745;8,25;;4,753736;6,51
4,774741;6,55;;5,753092;8,285;;4,770847;6,545
4,773837;6,575;;5,774493;8,315;;4,793718;6,575
4,79948;6,6;;5,789628;8,345;;4,811809;6,6
4,809468;6,625;;5,805728;8,375;;4,833991;6,63
4,838053;6,645;;5,830115;8,4;;4,849692;6,655
4,856941;6,68;;5,846368;8,425;;4,868565;6,685
4,89052;6,71;;5,862407;8,45;;4,883976;6,71
4,909806;6,745;;5,869362;8,47;;4,902144;6,73
4,934791;6,775;;5,888464;8,49;;4,915548;6,755
4,953419;6,805;;5,89427;8,51;;4,924632;6,775
4,979307;6,835;;5,910462;8,53;;4,945113;6,8
4,994534;6,86;;5,912484;8,545;;4,959053;6,82
5,010343;6,875;;5,922365;8,56;;4,970006;6,84
5,00947;6,89;;5,933854;8,57;;4,985846;6,86
5,020407;6,9;;5,941651;8,585;;4,993673;6,88
5,025141;6,915;;5,945189;8,595;;5,008502;6,895
5,031253;6,925;;5,942386;8,605;;5,018857;6,915
5,041042;6,935;;5,95124;8,61;;5,024816;6,93
5,04648;6,945;;5,950229;8,62;;5,037684;6,945
5,048946;6,955;;5,957475;8,625;;5,045543;6,96
5,056253;6,965;;5,951179;8,63;;5,056526;6,975
5,064342;6,975;;5,961718;8,64;;5,060953;6,99
5,066946;6,985;;5,962239;8,645;;5,072565;7,005
5,066011;6,99;;5,969117;8,655;;5,075874;7,015
5,058628;6,99;;5,972258;8,66;;5,090273;7,025
5,065046;6,995;;5,971783;8,665;;5,094946;7,04
5,059394;6,995;;5,985754;8,675;;5,104704;7,05
5,075739;7;;5,988235;8,695;;5,11123;7,06
5,084057;7,015;;6,008073;8,71;;5,117434;7,07
5,096174;7,03;;6,014308;8,73;;5,122872;7,08
5,10705;7,045;;6,027221;8,745;;5,126916;7,09
5,107326;7,055;;6,033058;8,755;;5,132936;7,1
5,12387;7,07;;6,037653;8,765;;5,134606;7,11
5,133567;7,085;;6,039844;8,775;;5,142219;7,115
5,151107;7,105;;6,046462;8,785;;5,147627;7,125
5,162274;7,12;;6,051318;8,79;;5,151778;7,135
5,174529;7,14;;6,062347;8,805;;5,156588;7,14
5,186509;7,155;;6,068597;8,82;;5,161889;7,15
5,197707;7,17;;6,068934;8,825;;5,1629;7,155
5,191166;7,175;;6,072657;8,83;;5,169272;7,165
5,218525;7,2;;6,071768;8,84;;5,168185;7,17
5,238026;7,22;;6,083778;8,85;;5,176993;7,175
5,246911;7,245;;6,093092;8,86;;5,176886;7,18
