A_AF_01_sila;pomik;;A_AF_02_sila;pomik;;A_AF_03_sila;pomik
0,878691;1,055;;0,808552;0,7;;0,817515;1,09
0,882598;1,055;;0,819443;0,715;;0,835438;1,115
0,887622;1,055;;0,824039;0,725;;0,84947;1,135
0,8964;1,06;;0,832311;0,735;;0,859075;1,16
0,914261;1,065;;0,837443;0,745;;0,880445;1,18
0,919669;1,075;;0,849514;0,76;;0,889774;1,205
0,942938;1,095;;0,853129;0,775;;0,913288;1,23
0,956265;1,12;;0,869827;0,79;;0,934121;1,26
0,975613;1,14;;0,872706;0,8;;0,949624;1,29
0,991483;1,165;;0,886432;0,81;;0,971729;1,315
1,012853;1,185;;0,889572;0,82;;0,986435;1,34
1,031358;1,215;;0,90221;0,83;;1,006809;1,37
1,051012;1,245;;0,909824;0,845;;1,027275;1,395
1,072091;1,275;;0,916763;0,855;;1,04532;1,415
1,09418;1,305;;0,921742;0,865;;1,060608;1,44
1,115106;1,335;;0,934502;0,875;;1,081932;1,465
1,127698;1,36;;0,941595;0,89;;1,09627;1,49
1,156175;1,39;;0,95169;0,9;;1,113902;1,51
1,176289;1,42;;0,95771;0,915;;1,128716;1,53
1,199604;1,45;;0,966687;0,925;;1,146256;1,55
1,219794;1,48;;0,972952;0,935;;1,158725;1,575
1,250432;1,52;;0,985238;0,95;;1,168774;1,595
1,272491;1,56;;0,994276;0,965;;1,190082;1,615
1,305839;1,595;;1,007925;0,98;;1,208189;1,64
1,331606;1,64;;1,017361;1;;1,2236;1,665
1,36736;1,68;;1,021069;1,015;;1,237234;1,69
1,396419;1,72;;1,038762;1,03;;1,264225;1,72
1,425402;1,76;;1,04659;1,05;;1,278487;1,75
1,451551;1,8;;1,06678;1,07;;1,304192;1,78
1,482005;1,84;;1,075236;1,085;;1,32501;1,81
1,515951;1,885;;1,091029;1,105;;1,337694;1,835
1,540262;1,92;;1,101385;1,125;;1,362005;1,865
1,57283;1,96;;1,125374;1,155;;1,384631;1,895
1,595563;1,995;;1,144507;1,19;;1,401619;1,92
1,623795;2,03;;1,175436;1,225;;1,420308;1,95
1,643449;2,065;;1,196438;1,265;;1,442153;1,98
1,670809;2,095;;1,227918;1,305;;1,46052;2,005
1,693343;2,13;;1,249869;1,34;;1,474981;2,03
1,717623;2,16;;1,283035;1,38;;1,490361;2,055
1,73645;2,19;;1,308111;1,42;;1,511822;2,085
1,760638;2,22;;1,33544;1,455;;1,526559;2,11
1,773352;2,24;;1,360042;1,495;;1,544696;2,135
1,78717;2,26;;1,391798;1,535;;1,556201;2,16
1,798337;2,28;;1,420061;1,575;;1,577723;2,18
1,81407;2,295;;1,447941;1,615;;1,591863;2,205
1,823338;2,31;;1,473722;1,655;;1,607473;2,225
1,826509;2,325;;1,49811;1,69;;1,617062;2,245
1,83596;2,33;;1,523202;1,725;;1,631523;2,26
1,83285;2,335;;1,545889;1,765;;1,638692;2,275
1,835761;2,335;;1,578365;1,8;;1,657917;2,295
1,82994;2,335;;1,602768;1,84;;1,661854;2,31
1,831089;2,34;;1,628733;1,885;;1,677663;2,325
1,823322;2,34;;1,653212;1,92;;1,68759;2,345
1,827688;2,34;;1,681491;1,96;;1,695433;2,365
1,818037;2,34;;1,701252;1,995;;1,716389;2,38
1,822464;2,34;;1,730235;2,03;;1,720939;2,4
1,816015;2,34;;1,747086;2,065;;1,739153;2,415
1,819309;2,34;;1,775333;2,095;;1,750657;2,435
1,813779;2,34;;1,793961;2,125;;1,766879;2,455
1,814682;2,34;;1,817996;2,155;;1,773788;2,475
1,807881;2,34;;1,825502;2,175;;1,789658;2,49
1,812063;2,34;;1,844007;2,195;;1,801316;2,51
1,784259;2,34;;1,850579;2,215;;1,813862;2,525
1,762461;2,34;;1,866219;2,23;;1,8176;2,54
1,7427;2,34;;1,875886;2,245;;1,833363;2,555
1,730613;2,34;;1,888876;2,265;;1,835017;2,57
1,717684;2,34;;1,8975;2,28;;1,849034;2,58
1,717623;2,34;;1,906676;2,29;;1,854074;2,59
1,717071;2,34;;1,914167;2,305;;1,862223;2,6
1,717025;2,34;;1,925043;2,315;;1,86737;2,61
1,732344;2,34;;1,929333;2,33;;1,878323;2,62
1,748751;2,34;;1,93739;2,34;;1,877328;2,63
1,762951;2,34;;1,943549;2,35;;1,88946;2,64
1,76312;2,34;;1,952173;2,36;;1,893581;2,65
1,766352;2,34;;1,95634;2,37;;1,897502;2,655
1,772724;2,34;;1,964106;2,38;;1,897732;2,66
1,79103;2,34;;1,968013;2,385;;1,898513;2,66
1,802611;2,34;;1,967645;2,395;;1,898085;2,665
1,813457;2,345;;1,978644;2,4;;1,900137;2,665
1,814299;2,345;;1,977449;2,41;;1,894408;2,665
1,829618;2,355;;1,988907;2,42;;1,888418;2,665
1,832958;2,365;;1,990822;2,43;;1,870802;2,665
1,84558;2,37;;2,002143;2,435;;1,858455;2,665
1,850865;2,38;;1,999968;2,445;;1,853338;2,665
1,859245;2,39;;2,012192;2,455;;1,845465;2,665
1,867517;2,4;;2,013708;2,46;;1,847119;2,665
1,87873;2,415;;2,016297;2,47;;1,84188;2,665
1,885256;2,43;;2,027511;2,48;;1,864184;2,665
1,899564;2,445;;2,03615;2,49;;1,864751;2,665
1,911512;2,46;;2,035967;2,49;;1,877282;2,665
1,932989;2,485;;2,046383;2,5;;1,877466;2,665
1,946179;2,51;;2,043825;2,51;;1,893382;2,67
1,970413;2,53;;2,057198;2,52;;1,892034;2,675
1,984812;2,555;;2,061135;2,53;;1,899953;2,685
2,00462;2,58;;2,073635;2,54;;1,905376;2,69
2,020521;2,6;;2,071567;2,545;;1,921231;2,71
2,032377;2,625;;2,081325;2,555;;1,939185;2,725
2,059737;2,655;;2,081938;2,56;;1,950092;2,745
2,084078;2,685;;2,095311;2,57;;1,968964;2,76
2,104391;2,715;;2,096859;2,58;;1,979963;2,775
2,125485;2,74;;2,1068;2,59;;1,992647;2,795
2,145261;2,765;;2,109696;2,6;;2,011642;2,825
2,156582;2,795;;2,120097;2,61;;2,036244;2,85
2,181812;2,82;;2,12362;2,62;;2,052681;2,88
2,193393;2,845;;2,1356;2,63;;2,072458;2,905
2,216738;2,87;;2,138893;2,64;;2,089446;2,935
2,232195;2,89;;2,147119;2,65;;2,111858;2,96
2,253044;2,92;;2,15363;2,665;;2,131849;2,99
2,27184;2,945;;2,176807;2,69;;2,149174;3,015
2,289518;2,97;;2,18848;2,71;;2,167128;3,04
2,303259;2,995;;2,200735;2,73;;2,182493;3,065
2,322269;3,015;;2,226455;2,755;;2,207186;3,09
2,340989;3,04;;2,241697;2,78;;2,22396;3,115
2,35496;3,06;;2,251655;2,795;;2,241255;3,14
2,366571;3,08;;2,266207;2,82;;2,2451;3,155
2,382916;3,1;;2,290396;2,845;;2,256865;3,17
2,391449;3,115;;2,300644;2,87;;2,262594;3,185
2,405404;3,135;;2,324036;2,895;;2,277806;3,2
2,415147;3,15;;2,335908;2,92;;2,287135;3,215
2,427999;3,165;;2,355776;2,945;;2,296495;3,225
